TradeRepublic_Name,L&S_Name,Region,WKN,ISIN,L&S_URL_ID
Edge MSCI World Multifactor,ISHARES FACTORSELECT MSCI WORLD UCITS ETF,Global,A14YPA,IE00BZ0PKT83,163605
STOXX Global Select Dividend 100,ISHARES DJ STOXX GLOBAL SELECT DIVIDEND 100 (DE),Global,A0F5UH,DE000A0F5UH1,879880
Global Infrastructure,ISHARES GLOBAL INFRASTRUCTURE UC,Global,A0LEW9,IE00B1FZS467,257190
Listed Private Equity,ISHARES LISTED PRIVATE EQUITY UC,Global,A0MM0N,IE00B1TXHL60,257184
J.P. Morgen USD EM Bond,ISHARES J.P. MORGAN $ EMERGING M,Global,A0NECU,IE00B2NPKV68,257208
MSCI World EUR Hedged (Acc),ISHARES MSCI WORLD EUR HEDGED,Global,A1C5E7,IE00B441G979,270960
Physical Palladium,ISHARES PHYS.MET.O.END ZT,Global,A1KWPT,IE00B4556L06,381092
J.P. Morgan EM Local Govt Bond,ISHARES EMERGING MARKETS GOV.,Global,A1JADV,IE00B5M4WH52,262312
Global AAA-AA Govt Bond,ISHARES GLOBAL AAA-AA GOVERNMENT BOND,Global,A1J40N,IE00B87G8S03,270342
J.P. Morgan USD EM Bond EUR Heged (Dist),ISHARES J. P. MORGAN $ EM BOND EUR HEDGE,Global,A1W0MQ,IE00B9M6RS56,270303
Global Corp Bond EUR Hedged (Dist),ISHARES GLOBAL CORP EUR HEDGE,Global,A1W02Q,IE00B9M6SJ31,270309
Edge MSCI World Momentum Factor,MSCI WORLD MOMENTUM FACTOR UCITS ETF,Global,A12ATF,IE00BP3QZ825,162771
Edge MSCI World Minimum Volatility,ISHARES MSCI WORLD MINVOL,Global,A2DN90,IE00BYXPXL17,454842
Diversified Commodity Swap,ISHARES DJ-UBS COMMO.SWAP,Global,A0H072,DE000A0H0728,42623
BRIC 50,ISHARES BRIC 50 UCITS ETF IE00B1,Global,A0MR61,IE00B1W57M07,257175
Global Timber & Forestry,ISHARES GLOBAL TIMBER & FORESTRY,Global,A0M59G,IE00B27YCF74,257700
MSCI World Islamic,ISHARES MSCI WORLD ISLAMIC UCITS,Global,A0NA46,IE00B27YCN58,259636
Global Inflation Linked Govt Bond,ISHARES GLOBAL INFLATION LINKED GOVERNMENT BOND,Global,A0Q41X,IE00B3B8PX14,262345
MSCI EM Small Cap,ISHARES MSCI EM SMALL CAP,Global,A0RGER,IE00B3F81G20,262366
MSCI EM USD (Acc),ISHARES MSCI EMERGING MARKETS,Global,A0RPWJ,IE00B4L5YC18,262363
UK Property,ISHARES UK PROPERTY,UK,A0MZWN,IE00B1TXLS18,380132
MSCI UK Small Cap,CS ETF(IE)MSCI UK SMA.CAP,UK,A0X8R9,IE00B3VWLG82,48068
MSCI UK,CS ETF(IE)ON MSCI UK,UK,A0YEDT,IE00B539F030,42509
Core FTSE 100,ISHARES FTSE100,UK,552752,IE0005042456,99978
Core GBP Corp Bond,ISHARES CORE £ CORPORATE BOND,UK,A0DKL3,IE00B00FV011,380111
